Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2 μF","C_0805_2012Metric",111.000000,-113.600000,180.000000,bottom
"C5","15 pF","C_0402_1005Metric",124.726000,-110.728000,90.000000,bottom
"C6","15 pF","C_0402_1005Metric",132.850000,-110.728000,270.000000,bottom
"C7","100 nF","C_0402_1005Metric",108.600000,-104.600000,90.000000,bottom
"C13","100 nF","C_0402_1005Metric",135.650000,-115.300000,0.000000,bottom
"C14","100 nF","C_0402_1005Metric",137.850000,-115.350000,0.000000,bottom
"Q1","DMP2165UW","SOT-323_SC-70",106.500000,-107.525000,0.000000,bottom
"R1","10 kΩ","R_0402_1005Metric",104.400000,-104.600000,90.000000,bottom
"R2","10 kΩ","R_0402_1005Metric",113.000000,-104.515000,90.000000,bottom
"R5","4.7 MΩ","C_0402_1005Metric",109.800000,-104.600000,270.000000,bottom
"R6","4.7 MΩ","C_0402_1005Metric",107.400000,-104.600000,90.000000,bottom
"U1","MAX40203ANS","WLP-4_0.73x0.73mm_Layout2x2_P0.35mm_Ball0.22mm_Pad0.2mm_NSMD",106.375000,-109.775000,-0.000000,bottom
"U2","MAX40203ANS","WLP-4_0.73x0.73mm_Layout2x2_P0.35mm_Ball0.22mm_Pad0.2mm_NSMD",109.125000,-109.775000,270.000000,bottom
"U4","ZXBM5210-S","SOIC-8_3.9x4.9mm_P1.27mm",130.250000,-105.250000,0.000000,bottom
"U5","74HC126PW-Q100","TSSOP-14_4.4x5mm_P0.65mm",119.800000,-109.250000,180.000000,bottom
"U9","ZXBM5210-S","SOIC-8_3.9x4.9mm_P1.27mm",136.750000,-111.000000,90.000000,bottom
"U10","TPS709A33DBVT","SOT-23-5",106.800000,-112.625000,90.000000,bottom
"Y1","8MHz","Crystal_SMD_5032-4Pin_5.0x3.2mm",128.790000,-110.800000,180.000000,bottom
