Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100 nF","C_0402_1005Metric",136.650000,-107.500000,180.000000,top
"C3","100 nF","C_0402_1005Metric",132.900000,-104.800000,270.000000,top
"C4","100 nF","C_0402_1005Metric",126.800000,-104.800000,90.000000,top
"C8","15 pF","C_0402_1005Metric",118.200000,-109.750000,0.000000,top
"C9","15 pF","C_0402_1005Metric",118.200000,-105.850000,0.000000,top
"C10","100 nF","C_0402_1005Metric",112.000000,-109.520000,90.000000,top
"C11","100 nF","C_0402_1005Metric",114.770000,-106.200000,180.000000,top
"C12","100 nF","C_0402_1005Metric",138.750000,-107.500000,0.000000,top
"D1","LED","LED_0603_1608Metric",114.400000,-111.750000,180.000000,top
"D2","LED","LED_0603_1608Metric",115.316000,-114.430000,270.000000,top
"D3","LED","LED_0603_1608Metric",113.538000,-114.430000,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",102.200000,-112.450000,270.000000,top
"R3","10 kΩ","R_0402_1005Metric",123.015000,-109.850000,180.000000,top
"R4","10 kΩ","R_0402_1005Metric",123.015000,-111.150000,0.000000,top
"R7","10 kΩ","R_0402_1005Metric",113.600000,-109.250000,90.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",117.500000,-111.250000,0.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",111.800000,-115.515000,270.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",115.250000,-109.281000,90.000000,top
"U3","ATmega328P-MMH","QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm",129.450000,-109.450000,0.000000,top
"U6","MCP7940N-xSN","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",121.850000,-107.600000,0.000000,top
"U7","FT232RQ","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",107.962500,-112.700000,270.000000,top
"U8","ZXBM5210-S","SOIC-8_3.9x4.9mm_P1.27mm",136.750000,-112.000000,270.000000,top
"Y2"," 32.768 kHz","Crystal_SMD_2012-2Pin_2.0x1.2mm",118.200000,-107.700000,270.000000,top
