"Source:","C:\Users\Stephen\Documents\Repositories\microBoSL\EDA\EDA\microBoSL.kicad_sch"
"Date:","2022-06-15 15:15:49"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","65"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier"
"","","AE1","Antenna","Device:Antenna","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"","","C1","2.2 μF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://au.mouser.com/datasheet/2/585/MLCC-1837944.pdf","https://au.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A225KAFNNNE?qs=sGAEpiMZZMuMW9TJLBQkXpDxzuCsSowO2NtmGkulgUw="
"","","C2","22 pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C220J8HACTU?qs=W0yvOO0ixfGTPsKyhb5TPg%3D%3D"
"","","C3","22 pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C220J8HACTU?qs=W0yvOO0ixfGTPsKyhb5TPg%3D%3D"
"","","C4","100 nF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C103K3RACTU?qs=A9KPa1hU2BRD%252BYWIRO5N9g%3D%3D"
"","","C5","100 nF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C103K3RACTU?qs=A9KPa1hU2BRD%252BYWIRO5N9g%3D%3D"
"","","C6","100 nF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C103K3RACTU?qs=A9KPa1hU2BRD%252BYWIRO5N9g%3D%3D"
"","","C7","100 nF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C103K3RACTU?qs=A9KPa1hU2BRD%252BYWIRO5N9g%3D%3D"
"","","C8","100 pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C101K3RACAUTO?qs=DuoOggApuK%2FQ6tIpLsntww%3D%3D"
"","","C9","100 nF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/C0402C103K3RACTU?qs=A9KPa1hU2BRD%252BYWIRO5N9g%3D%3D"
"","","C10","5.1 pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","https://au.mouser.com/ProductDetail/KEMET/CBR04C519C5GAC?qs=3SGS%2FGl3GGyNP7GoYF0kaA%3D%3D"
